material_id,formula,n_elements,crystal_system,spacegroup_number,category,formation_energy_per_atom_eV,energy_above_hull_eV,band_gap_eV,is_metal,bulk_modulus_GPa,shear_modulus_GPa,poisson_ratio,density_g_cm3,nsites,volume_A3,melting_point_K,is_stable,elastic_modulus_GPa,MQI
mp-322046,Ti3C2,2,orthorhombic,54,Metal,-2.1025,0.0032,0.0,1,147.69,70.7,0.3107,13.464,16,2135.71,2410.0,1,185.33298,105.814188
mp-612349,Ir4MnHe4,3,hexagonal,185,Sulfide,-0.4589,0.0138,0.648,0,141.29,65.13,0.2824,3.521,8,310.34,1766.0,1,167.045424,98.81885439999999
mp-800236,Mo4Cr4,2,hexagonal,170,Metal,-0.83,0.1229,0.0,1,164.04,38.15,0.3762,7.083,6,449.82,1639.0,0,105.00405999999998,60.16923599999999
mp-705831,Ca3Re,2,trigonal,151,Metal,-0.2787,0.097,0.0,1,178.05,60.91,0.3408,7.829,8,786.63,1558.0,0,163.336256,94.87015359999998
mp-316900,BaH2NiGe,4,hexagonal,194,Ceramic,-2.4334,0.0165,7.153,0,258.69,194.57,0.1762,3.197,12,461.71,1573.0,1,457.706468,273.3450808
mp-904250,Au2S4He2,3,hexagonal,168,Ceramic,-3.9869,0.0116,5.607,0,227.36,79.98,0.3266,6.054,2,101.61,2270.0,1,212.20293600000002,124.9001616
mp-216299,BaSe2,2,orthorhombic,32,Intermetallic,-0.772,0.078,0.0,1,107.55,56.87,0.2843,11.22,8,1248.81,1374.0,0,146.076282,83.15776919999999
mp-95248,Nb2K3,2,triclinic,1,Sulfide,-1.2251,0.0652,4.05,0,145.91,23.2,0.4225,5.533,6,433.08,1196.0,0,66.00399999999999,37.389199999999995
mp-968286,Be4He,2,trigonal,161,Nitride,-0.7565,0.0654,4.468,0,252.57,141.14,0.2569,5.291,12,887.95,1297.0,0,354.79773199999994,210.76223919999995
mp-90888,Zr4SMn2,3,monoclinic,3,Chalcogenide,-0.2426,0.0557,3.682,0,67.85,35.72,0.2694,4.147,32,1965.56,1186.0,0,90.685936,52.7527616
mp-589048,K2P2In,3,cubic,207,Metal,-1.8335,0.0295,0.0,1,125.0,72.37,0.2598,4.513,16,1181.06,1480.0,1,182.343452,107.6008712
mp-462732,Ga4Cr3Al3Zn2,4,tetragonal,107,Intermetallic,-0.2086,0.095,0.0,1,132.63,63.4,0.296,6.749,8,540.87,1700.0,0,164.3328,95.90007999999999
mp-905273,PIr2Si4Cu,4,triclinic,1,Nitride,-1.6957,0.0635,0.246,0,296.45,138.23,0.2854,8.067,12,671.25,260.0,0,355.361684,209.99021040000002
mp-55778,Mg2NaGe,3,hexagonal,192,Metal,-1.0345,0.1063,0.0,1,96.29,51.1,0.2662,16.396,8,406.5,895.0,0,129.40564,71.08498399999999
mp-274548,Be3Hf,2,monoclinic,6,Metal,-0.8415,0.1358,0.0,1,150.05,43.89,0.371,3.851,16,465.9,1669.0,0,120.34638,70.66742799999999
mp-455496,V4Ar,2,hexagonal,177,Nitride,-0.683,0.0084,0.173,0,371.2,198.08,0.2802,5.706,2,147.59,1723.0,1,507.164032,302.0160192
mp-500603,B4F,2,tetragonal,80,Alloy,-1.251,0.0271,0.0,1,198.9,85.45,0.3203,10.972,16,1403.97,1336.0,1,225.63927,130.994762
mp-737614,Pt3Ta3He2,3,hexagonal,169,Oxide,-3.5503,0.0074,7.087,0,81.15,42.94,0.2636,7.604,4,348.28,1844.0,1,108.517968,62.0691808
mp-443531,Ag4W3In2,3,cubic,199,Oxide,-2.2295,0.0003,4.928,0,289.53,271.8,0.1436,2.689,8,197.38,2102.0,1,621.66096,371.920976
mp-247566,Sr2Ba3Pd3,3,cubic,209,Chalcogenide,-0.5945,0.021,0.082,0,140.97,39.44,0.3718,4.065,2,87.62,1338.0,1,108.20758399999998,63.29855039999999
mp-254718,Mo3Ti4,2,tetragonal,92,Metal,-1.3,0.2298,0.0,1,131.4,87.24,0.2261,12.126,4,674.19,1887.0,0,213.929928,123.50755679999997
mp-319995,In4NiRh4,3,cubic,201,Intermetallic,-0.1647,0.0293,0.0,1,257.26,147.25,0.2448,7.991,4,378.32,1881.0,1,366.5936,216.75975999999997
mp-242869,Fe2Ce2,2,monoclinic,14,Boride,-1.0497,0.1109,1.009,0,368.49,170.9,0.2931,5.921,8,806.83,1346.0,0,441.98158,262.820548
mp-111113,S3CuY2Mn3,4,monoclinic,7,Semiconductor,-2.21,0.0515,0.201,0,100.14,42.87,0.3059,3.741,4,151.46,1893.0,0,111.967866,65.68431960000001
mp-908358,Ce3In2,2,cubic,215,Ceramic,-6.3739,0.0242,5.796,0,295.2,200.66,0.2311,5.507,8,669.48,2552.0,1,494.06505200000004,294.23623119999996
mp-192117,Ba3Ta2Sb,3,cubic,214,Alloy,-0.1529,0.0286,0.0,1,167.04,47.53,0.3707,12.467,12,1897.86,1903.0,1,130.298742,73.1924452
mp-806478,Ge2O3,2,hexagonal,178,Sulfide,-1.0237,0.1413,3.139,0,29.49,11.87,0.3155,6.431,2,192.53,1007.0,0,31.22997,16.165582
mp-154577,WSc2,2,orthorhombic,62,Metal,-0.0713,0.0581,0.0,1,132.93,105.88,0.1786,11.766,4,501.9,1413.0,0,249.58033600000002,145.0418016
mp-289366,O3N3Ne,3,trigonal,156,Ceramic,-4.8052,0.0151,2.397,0,125.28,37.23,0.371,4.966,8,423.73,1929.0,1,102.08465999999999,59.264395999999984
mp-77517,Co3Ar3,2,tetragonal,139,Semiconductor,-0.3843,0.0835,1.601,0,96.04,44.7,0.2948,1.703,4,83.58,590.0,0,115.75512,68.771872
mp-41999,C3Ta,2,cubic,213,Alloy,-0.1981,0.0221,0.0,1,122.89,52.77,0.3145,8.498,12,961.92,1655.0,1,138.73233000000002,79.84019800000002
mp-477266,Co2P4Hf,3,triclinic,1,Perovskite,-3.5724,0.0321,3.285,0,111.28,14.46,0.432,4.922,2,82.42,1516.0,1,41.41344,22.879264
mp-401240,AgHf2,2,orthorhombic,38,Chalcogenide,-0.1082,0.0321,1.324,0,88.32,33.91,0.3227,4.691,6,264.4,1841.0,1,89.705514,51.9469084
mp-866827,InO3Zn4,3,trigonal,144,Metal,-0.6415,0.0309,0.0,1,189.49,153.56,0.174,13.232,24,2809.98,1623.0,1,360.55888,211.04252799999998
mp-827681,Ti,1,hexagonal,194,Halide,-1.6568,0.2629,2.053,0,37.52,20.92,0.2659,8.3,12,1198.89,1531.0,0,52.965256000000004,28.4591536
mp-799913,Te4BiTa2,3,cubic,197,Intermetallic,-1.0062,0.1287,0.0,1,86.0,24.4,0.3678,6.1,4,208.52,1370.0,0,66.74864,37.609184
mp-422034,Co4,1,monoclinic,13,Semiconductor,-0.2459,0.045,0.828,0,8.26,4.31,0.283,4.147,12,666.01,615.0,1,11.059459999999998,4.976875999999998
mp-170429,B3,1,hexagonal,180,Phosphide,-2.3723,0.0073,0.638,0,55.89,32.06,0.2458,6.217,4,379.25,1219.0,1,79.880696,45.441617599999994
mp-25531,N2CuSc3,3,monoclinic,10,Carbide,-1.7098,0.0176,1.4,0,331.68,134.8,0.316,6.118,4,296.96,1483.0,1,354.7936,210.42896
mp-933039,Li3Ni2Ne3,3,hexagonal,191,Ceramic,-4.8473,0.1,8.292,0,222.8,157.24,0.2299,3.378,12,358.38,2916.0,0,386.778952,230.7161712
mp-353649,Be3Ar3,2,orthorhombic,48,Sulfide,-1.3344,0.0313,2.406,0,74.45,44.45,0.2492,2.023,16,431.81,1639.0,1,111.05388000000002,65.82312800000001
mp-820052,Rh3Ge4,2,triclinic,2,Phosphide,-1.9668,0.0314,2.598,0,107.7,88.07,0.1854,1.764,2,35.36,1025.0,1,208.79635599999997,124.57221359999997
mp-791214,P4Mn3,2,cubic,225,Ceramic,-3.159,0.0011,1.9,0,49.24,18.65,0.334,5.413,12,780.49,2795.0,1,49.7582,27.68972
mp-377983,Zr2Sb4,2,hexagonal,176,Metal,-0.66,0.1665,0.0,1,136.78,91.66,0.2273,9.461,8,679.53,1851.0,0,224.988636,131.2087816
mp-834032,He4Be,2,orthorhombic,30,Nitride,-1.9073,0.0113,2.147,0,337.21,218.45,0.2245,5.619,6,324.64,2094.0,1,534.9840499999999,318.74282999999997
mp-865971,Sr4Si2Cu4Zn4,4,cubic,203,Semiconductor,-0.6754,0.1736,2.1,0,158.21,94.37,0.2458,2.18,6,128.28,1489.0,0,235.132292,140.20737519999997
mp-114112,C2Bi2Cr2H,4,cubic,218,Intermetallic,-1.1703,0.0443,0.0,1,156.22,103.21,0.233,8.719,2,189.37,1367.0,1,254.51586,149.22191600000002
mp-980706,B4Os4Pd4S2,4,orthorhombic,32,Sulfide,-0.5245,0.0086,0.82,0,113.76,54.84,0.3102,3.129,16,530.14,1108.0,1,143.70273600000002,84.97004160000002
mp-239655,Ni4Cu,2,cubic,209,Metal,-0.7498,0.0208,0.0,1,96.78,46.16,0.2907,5.538,8,376.1,510.0,1,119.15742399999999,69.2792544
mp-266087,He2Sb3V2,3,tetragonal,106,Intermetallic,-0.7768,0.1334,0.0,1,171.71,73.96,0.2957,0.5,6,43.01,825.0,0,191.659944,114.7959664
mp-104991,Ni4Br3Pb2,3,hexagonal,184,Chalcogenide,-1.625,0.0086,1.17,0,52.75,27.6,0.2778,7.071,2,222.3,483.0,1,70.53456000000001,39.492336
mp-467813,SrSe4Pb4Bi2,4,tetragonal,117,Intermetallic,-1.611,0.1265,0.0,1,218.64,116.82,0.2611,0.5,2,8.13,1783.0,0,294.643404,176.5860424
mp-700063,Ga3FeF2,3,orthorhombic,46,Intermetallic,-1.6866,0.2846,0.0,1,97.36,63.16,0.2391,11.139,6,949.06,1694.0,0,156.523112,89.4582672
mp-241352,Re4Sr2,2,hexagonal,192,Oxide,-3.304,0.0036,5.376,0,176.24,49.06,0.3695,4.535,24,1212.61,1026.0,1,134.37534,78.811204
mp-335709,SCl3Au2,3,hexagonal,193,Semiconductor,-2.8686,0.0078,2.146,0,43.45,25.18,0.2435,3.253,8,107.49,1636.0,1,62.62266,36.272396
mp-372578,Ni2Sb2Ba2,3,cubic,217,Semiconductor,-2.3169,0.0081,1.152,0,95.39,46.89,0.291,5.959,8,748.55,1430.0,1,121.06998,70.258388
mp-26281,S4Au2,2,orthorhombic,65,Halide,-1.7118,0.0608,4.482,0,75.63,25.97,0.3458,0.5,24,152.94,1515.0,0,69.900852,41.74051119999999
mp-436106,Ru2Be3,2,hexagonal,170,Semiconductor,-0.2488,0.2214,1.959,0,91.99,34.24,0.3408,0.5,2,11.57,348.0,0,91.81798400000001,54.8907904
mp-142883,C2Ge3,2,cubic,212,Ceramic,-3.1439,0.0459,8.063,0,330.54,173.94,0.2616,3.913,8,420.92,2271.0,1,438.88540800000004,261.76604480000003
mp-628794,Al3Ti2,2,cubic,207,Intermetallic,-1.1011,0.0007,0.0,1,240.19,163.27,0.2162,1.864,16,281.68,1964.0,1,397.137948,237.5371688
mp-920261,Ca2KOs4,3,tetragonal,136,Ceramic,-4.6322,0.0309,5.415,0,185.72,96.92,0.2931,4.739,2,132.55,2374.0,1,250.65450399999997,148.4971024
mp-445489,O2VCr2Ce4,4,hexagonal,170,Semiconductor,-0.6747,0.1141,2.483,0,2.0,0.98,0.3001,4.682,8,292.41,1349.0,0,2.548196,-0.34388240000000025
mp-727646,K2B2,2,cubic,196,Oxide,-5.2086,0.007,4.345,0,197.37,140.67,0.2259,5.756,4,243.68,1474.0,1,344.894706,204.6344236
mp-126760,LiCa,2,orthorhombic,39,Metal,-1.975,0.0491,0.0,1,260.06,134.25,0.2881,10.233,2,329.17,1591.0,1,345.85485,203.41971
mp-414936,Sr2Co3,2,cubic,214,Chalcogenide,-1.1778,0.2553,0.694,0,81.34,25.61,0.35,3.963,4,198.02,1210.0,0,69.147,39.903
mp-976363,P4Ga2,2,cubic,219,Chalcogenide,-1.245,0.0154,1.888,0,101.29,60.28,0.25,4.446,24,1400.9,951.0,1,150.7,88.64159999999998
mp-758401,Ge4Ca4Pd4,3,cubic,208,Intermetallic,-0.0841,0.0264,0.0,1,217.08,96.47,0.3101,8.103,16,1802.56,1277.0,1,252.770694,148.4212164
mp-575828,Ge4Ti2,2,cubic,212,Semiconductor,-1.1369,0.0301,2.12,0,123.58,56.85,0.2901,4.125,8,381.8,1792.0,1,146.68437,86.36062199999999
mp-517196,ClBr2O3W4,4,trigonal,161,Chalcogenide,-1.279,0.1076,3.561,0,68.43,31.81,0.2998,4.902,6,418.0,1613.0,0,82.693276,47.6551656
mp-72455,CaK2,2,monoclinic,6,Nitride,-0.2366,0.2093,0.907,0,211.27,100.54,0.2908,9.579,4,568.57,1631.0,0,259.554064,151.90083839999997
mp-809783,W3Pd3,2,cubic,205,Intermetallic,-0.5293,0.0805,0.0,1,113.83,46.57,0.3127,6.817,12,1176.29,541.0,0,122.264878,70.6321268
mp-378507,Ar4,1,tetragonal,108,Nitride,-0.2973,0.1085,2.837,0,178.78,71.19,0.3233,5.798,12,908.33,1565.0,0,188.411454,110.7276724
mp-773859,Te2P,2,cubic,215,Oxide,-2.5498,0.0005,1.681,0,337.45,118.84,0.3452,6.213,32,2362.82,2785.0,1,319.727136,189.3510816
mp-245310,Ar4Ce3,2,tetragonal,109,Chalcogenide,-1.4612,0.1589,2.049,0,96.29,55.76,0.2414,0.907,2,27.85,582.0,0,138.440928,82.7017568
mp-10349,WAr2,2,cubic,215,Metal,-0.2911,0.0577,0.0,1,260.16,71.35,0.3728,7.83,6,593.34,1362.0,0,195.89855999999997,114.40713599999998
mp-107320,Na2N3,2,tetragonal,130,Silicate,-3.1682,0.0043,9.113,0,96.81,45.01,0.3029,2.405,4,123.18,785.0,1,117.28705799999999,69.41023479999998
mp-71190,YRe4ClTe4,4,cubic,199,Oxide,-1.575,0.0469,6.993,0,240.05,110.59,0.3036,2.22,4,72.31,1721.0,1,288.330248,172.1101488
mp-374557,Sc2Ce3BaTi,4,tetragonal,128,Semiconductor,-1.2565,0.0065,3.035,0,129.16,94.8,0.2137,4.222,4,212.96,1202.0,1,230.11751999999998,136.381712
mp-744448,H3Si4,2,monoclinic,12,Ceramic,-3.8285,0.0266,8.39,0,150.32,123.73,0.1772,4.379,8,448.26,3115.0,1,291.309912,173.03434719999998
mp-571929,Co3H2,2,cubic,225,Carbide,-1.2608,0.0155,0.109,0,187.62,153.52,0.162,9.188,16,2349.05,2579.0,1,356.78048,210.393088
mp-337050,PdSbZn3,3,trigonal,149,Oxide,-4.0561,0.0352,3.116,0,206.01,82.34,0.3239,3.732,8,270.09,2153.0,1,218.01985200000001,129.3191112
mp-797968,O4HfFeV4,4,cubic,199,Halide,-3.5776,0.0107,0.911,0,62.31,25.62,0.2965,1.506,4,86.77,1159.0,1,66.43266,39.25719599999999
mp-129012,Al2Se4,2,trigonal,167,Oxide,-2.9159,0.0536,6.435,0,2.0,1.59,0.1977,5.574,8,478.61,1953.0,0,3.8086860000000002,0.055611600000000205
mp-280280,Ga2ClKPt,4,cubic,216,Ceramic,-3.5764,0.0062,3.625,0,202.3,102.41,0.2886,2.924,12,646.57,1821.0,1,263.93105199999997,157.18903119999996
mp-385256,W4Ca2Re3Fe,4,orthorhombic,57,Intermetallic,-1.5507,0.2328,0.0,1,71.24,16.04,0.3897,8.798,24,2931.98,1242.0,0,44.581576,23.229745599999998
mp-500166,Ba2As4W3,3,cubic,207,Oxide,-3.6424,0.0062,6.024,0,119.24,52.34,0.3187,2.78,8,335.83,2163.0,1,138.041516,81.7129096
mp-503368,SrNb2,2,cubic,210,Oxide,-3.3155,0.0134,2.077,0,87.63,41.2,0.2844,3.061,12,455.1,2104.0,1,105.83456000000001,62.276336
mp-649447,N4Mn,2,orthorhombic,38,Perovskite,-1.7452,0.0048,1.363,0,129.57,53.73,0.3086,1.852,6,158.83,1642.0,1,140.622156,83.6324936
mp-3701,Ni3Mn2,2,cubic,196,Nitride,-0.2193,0.0533,0.243,0,269.22,127.09,0.303,5.971,12,1408.25,1777.0,0,331.19653999999997,196.329524
mp-945325,NWCd,3,orthorhombic,20,Chalcogenide,-0.7419,0.0066,0.102,0,76.66,28.81,0.3309,4.785,4,261.18,1390.0,1,76.686458,44.0978748
mp-910444,VNe4,2,tetragonal,103,Oxide,-1.9564,0.0297,3.474,0,126.04,91.09,0.2023,5.142,8,487.91,1410.0,1,219.035014,129.36420839999997
mp-498679,Be2IrK4,3,monoclinic,15,Silicate,-4.1132,0.0208,5.305,0,117.64,73.46,0.2346,7.24,12,1295.57,1834.0,1,181.38743199999996,105.93645919999997
mp-249136,S2P3,2,hexagonal,173,Ceramic,-1.9986,0.0567,0.605,0,143.78,57.9,0.3271,3.018,8,385.63,2957.0,0,153.67818,90.999708
mp-448759,Zn4Pb3,2,tetragonal,142,Nitride,-1.6497,0.0894,1.44,0,234.87,46.69,0.4103,7.71,12,1058.26,1745.0,0,131.69381399999997,75.93228839999998
mp-573363,Ce4Re2,2,tetragonal,117,Metal,-1.1654,0.0475,0.0,1,184.26,104.83,0.2385,8.427,2,209.18,1575.0,1,259.66391,152.42754599999998
mp-729830,Ga2Mg2Li4,3,tetragonal,79,Alloy,-0.4612,0.0724,0.0,1,131.63,76.3,0.2552,4.022,6,293.88,1595.0,0,191.54351999999997,113.31731199999997
mp-67042,TePbMn4Bi3,4,hexagonal,172,Oxide,-4.013,0.0148,8.938,0,321.63,208.46,0.2225,1.34,12,240.26,2434.0,1,509.68469999999996,305.27482
mp-234607,C2V3Nb,3,tetragonal,124,Halide,-3.4556,0.0205,6.835,0,127.14,66.16,0.2815,4.285,32,1804.75,400.0,1,169.56807999999998,100.02684799999999
mp-352036,Pd2Rh2H2,3,monoclinic,3,Chalcogenide,-1.439,0.0404,1.753,0,30.01,18.82,0.2431,2.633,4,141.26,729.0,1,46.79028400000001,27.020970400000003
mp-491984,Ag2Cl3Sc4,3,tetragonal,94,Semiconductor,-1.5855,0.0118,2.858,0,64.56,32.92,0.277,4.07,6,285.24,1277.0,1,84.07768000000002,48.818608000000005
mp-911999,Ga4Al4In,3,triclinic,2,Alloy,-1.5789,0.093,0.0,1,119.36,64.78,0.2593,11.555,4,456.3,1530.0,0,163.154908,93.2709448
mp-960257,Co3Zn3Zr3C,4,orthorhombic,27,Ceramic,-3.9041,0.002,5.756,0,143.66,76.59,0.2852,3.913,8,144.45,3528.0,1,196.86693600000004,116.55496160000001
mp-847965,NCa4Ce3,3,tetragonal,108,Semiconductor,-0.9222,0.0192,2.426,0,144.46,64.95,0.3069,3.947,16,1145.14,1052.0,1,169.76631,100.280986
mp-749126,Al3S,2,orthorhombic,59,Semiconductor,-0.9353,0.0175,0.721,0,90.51,43.76,0.3,3.338,6,308.03,1190.0,1,113.776,66.93039999999999
mp-373745,Pb2Pt4,2,tetragonal,86,Intermetallic,-1.5121,0.0405,0.0,1,212.62,77.06,0.3344,5.459,8,530.98,1087.0,1,205.65772800000002,121.2110368
mp-804120,Be3B2Ga,3,hexagonal,186,Metal,-0.8023,0.0294,0.0,1,149.07,52.58,0.3437,4.469,8,331.69,1899.0,1,141.303492,82.9944952
mp-869649,Ce4B3W3,3,orthorhombic,44,Perovskite,-4.2737,0.0026,1.38,0,129.67,87.42,0.2257,6.134,4,288.8,1099.0,1,214.301388,126.1272328
mp-428523,P4Sr2,2,cubic,212,Chalcogenide,-0.2965,0.1269,0.774,0,64.57,50.43,0.2016,4.421,4,157.88,1275.0,0,121.193376,70.9476256
mp-893352,KTeZr4Sr2,4,hexagonal,169,Oxide,-4.5757,0.0364,9.481,0,150.66,34.47,0.3938,1.202,12,168.66,2051.0,1,96.08857199999998,57.172343199999986
mp-828019,In3Mo4NW,4,trigonal,164,Metal,-0.5787,0.0369,0.0,1,89.56,53.69,0.2384,8.01,4,310.97,1889.0,1,132.979392,76.5836352
mp-402430,As2Nb2Fe2,3,hexagonal,191,Metal,-0.3426,0.0545,0.0,1,143.29,127.75,0.1578,8.808,12,1275.89,1709.0,0,295.8179,173.96753999999999
mp-976942,TaN,2,cubic,210,Alloy,-1.1725,0.072,0.0,1,106.95,36.67,0.3352,4.536,12,746.9,606.0,0,97.923568,56.9397408
mp-850623,PTi3Cu,3,orthorhombic,36,Metal,-0.283,0.1632,0.0,1,155.12,94.32,0.2368,5.868,32,3624.5,1774.0,0,233.309952,137.6387712
mp-637414,Sn2Ge2,2,cubic,210,Boride,-1.1976,0.0365,1.766,0,294.21,74.69,0.3748,9.019,16,1226.83,200.0,1,205.367624,119.6129744
mp-863477,NbTe,2,tetragonal,104,Metal,-0.6782,0.0486,0.0,1,130.47,51.69,0.331,6.202,6,448.92,1456.0,1,137.59877999999998,80.07846799999999
mp-982395,Pt2Mg2,2,cubic,230,Halide,-5.8932,0.0024,5.012,0,59.2,35.27,0.2524,7.901,6,482.76,1135.0,1,88.344296,49.8461776
mp-743825,Cr4Ba4,2,tetragonal,138,Intermetallic,-0.3107,0.0546,0.0,1,113.9,47.27,0.3124,10.843,12,1623.02,1364.0,0,124.074296,70.1073776
mp-451504,Cu4Li4,2,hexagonal,187,Oxide,-3.1831,0.0319,9.421,0,207.23,107.27,0.2627,5.571,12,559.22,3135.0,1,270.899658,160.3113948
mp-400010,MnFe2Sc,3,cubic,226,Metal,-1.4878,0.0904,0.0,1,156.73,82.89,0.2742,2.448,32,1067.74,1161.0,0,211.236876,125.76292559999999
mp-91942,Te4Mn2CoAs2,4,hexagonal,193,Ceramic,-3.8555,0.0047,2.622,0,144.35,31.51,0.3946,6.03,16,1355.71,1914.0,1,87.887692,50.3206152
mp-470304,Bi2Ta4,2,trigonal,159,Intermetallic,-0.9952,0.0218,0.0,1,159.21,140.94,0.1675,11.223,32,4454.02,1703.0,1,329.0949,192.96774
mp-700384,Li3Ar4,2,tetragonal,80,Chalcogenide,-1.1452,0.1126,2.974,0,43.82,27.26,0.2535,3.573,4,127.5,1222.0,0,68.34082000000001,39.575292000000005
mp-29540,NiAg3,2,orthorhombic,58,Intermetallic,-2.522,0.0096,0.0,1,183.55,110.35,0.2627,5.498,8,454.2,1316.0,1,278.67789,165.007534
mp-6048,Y4Cr2CoH2,4,hexagonal,185,Nitride,-1.0998,0.0027,1.0,0,285.87,184.62,0.2231,7.73,4,459.63,1407.0,1,451.61744400000003,267.87846640000004
mp-543732,Sn4Fe3,2,monoclinic,3,Ceramic,-4.4429,0.0216,5.171,0,271.28,188.38,0.2158,5.542,4,275.98,2558.0,1,458.06480799999997,272.6220848
mp-832213,Ge3Cr,2,orthorhombic,49,Phosphide,-1.4414,0.1035,1.742,0,21.04,11.4,0.2593,7.136,4,241.53,1618.0,0,28.712040000000002,14.372824
mp-149693,Sn3Ta,2,monoclinic,8,Ceramic,-5.2269,0.01,3.594,0,281.83,204.5,0.2153,5.856,6,477.51,1673.0,1,497.0577,295.89222
mp-644942,Al3,1,hexagonal,183,Sulfide,-2.7586,0.0015,0.987,0,81.02,27.14,0.3386,2.014,8,238.2,1349.0,1,72.659208,42.7899248
mp-995283,TiH2He2,3,orthorhombic,29,Ceramic,-2.9108,0.0068,7.343,0,166.1,100.19,0.2537,6.756,16,1629.49,2096.0,1,251.216406,148.0274436
mp-655034,Sc2Sb3P,3,cubic,209,Nitride,-0.8883,0.0426,0.947,0,103.21,61.79,0.2471,5.508,8,647.79,624.0,1,154.11661800000002,90.26677080000002
mp-303732,Cd2BeNi4P,4,hexagonal,172,Semiconductor,-2.6303,0.0064,1.928,0,15.48,3.83,0.3871,2.667,24,684.1,1453.0,1,10.625186,5.3083116
mp-2261,NbSb4,2,cubic,223,Ceramic,-4.6355,0.0103,8.706,0,148.73,72.66,0.2646,3.182,8,285.55,2919.0,1,183.771672,108.9902032
mp-749161,Se4Rh3Nb2,3,monoclinic,3,Intermetallic,-2.442,0.0126,0.0,1,149.36,86.37,0.2539,8.764,32,3258.44,2235.0,1,216.59868600000001,126.4536116
mp-39377,Ce2IrCl,3,orthorhombic,30,Carbide,-2.2171,0.0229,0.501,0,225.07,150.19,0.2451,0.5,24,105.13,2355.0,1,374.00313800000004,224.20188280000002
mp-378697,V3Ru2,2,cubic,222,Chalcogenide,-0.1981,0.087,1.65,0,132.57,78.76,0.267,4.287,2,103.88,2417.0,0,199.57784,118.031904
mp-439574,K2Sr,2,hexagonal,169,Perovskite,-2.172,0.0239,0.43,0,111.78,45.54,0.3182,3.925,16,1170.47,1085.0,1,120.061656,70.46699360000001
mp-723577,Li2ZrAu4,3,tetragonal,94,Halide,-3.3888,0.0139,8.576,0,63.42,28.39,0.3113,0.5,6,22.2,557.0,1,74.45561400000001,44.473368400000005
mp-439297,Se3C2,2,cubic,226,Halide,-1.9556,0.1306,6.471,0,144.57,81.43,0.266,1.854,16,243.79,602.0,0,206.18076000000002,122.966856
mp-943052,Pd2Ga2C,3,triclinic,2,Metal,-1.257,0.0482,0.0,1,185.12,120.23,0.2305,6.681,8,607.2,605.0,1,295.88603,174.859218
mp-149142,FeCd2,2,hexagonal,181,Metal,-1.5368,0.002,0.0,1,179.61,102.81,0.2576,5.014,12,568.26,1969.0,1,258.587712,153.14702720000003
mp-315437,FeCl2,2,hexagonal,185,Semiconductor,-0.5401,0.0567,0.789,0,78.28,37.53,0.2952,2.526,8,212.15,1490.0,0,97.21771199999999,57.3202272
mp-48212,Li4K4Ru4,3,cubic,223,Semiconductor,-1.726,0.0723,0.756,0,103.69,38.14,0.3349,5.515,6,291.94,1163.0,0,101.826172,58.88970319999999
mp-786875,Sb4Te3Pd2,3,cubic,210,Halide,-3.3993,0.0112,5.965,0,72.57,31.56,0.3163,3.293,12,641.63,1457.0,1,83.084856,48.5337136
mp-721283,O4Be3,2,cubic,229,Metal,-0.5643,0.0757,0.0,1,16.33,10.3,0.2395,5.828,6,630.81,291.0,0,25.533700000000003,12.98902
mp-74630,Ru2W4,2,orthorhombic,28,Semiconductor,-0.7755,0.2234,0.68,0,120.2,79.85,0.2353,2.357,6,177.49,1681.0,0,197.27741,117.42364599999999
mp-533293,NaCd2B,3,cubic,206,Alloy,-0.7775,0.0635,0.0,1,243.9,123.92,0.2724,9.844,8,1087.06,1634.0,0,315.351616,185.27336959999997
mp-51989,SbSi2,2,orthorhombic,74,Metal,-0.7277,0.0077,0.0,1,210.7,147.73,0.2123,13.856,4,398.76,2150.0,1,358.186158,209.36929479999998
mp-73849,Sc4Ir,2,hexagonal,189,Metal,-0.2221,0.193,0.0,1,71.69,24.5,0.3431,5.969,16,1005.84,1013.0,0,65.8119,37.09954
mp-89557,NOs,2,cubic,210,Semiconductor,-1.8351,0.0887,1.272,0,32.47,14.92,0.2996,2.606,8,299.96,1523.0,0,38.780063999999996,22.225638399999998
mp-822038,Ar3Hf3,2,hexagonal,168,Nitride,-0.6787,0.1123,2.815,0,247.56,73.05,0.3713,1.115,2,34.85,1131.0,0,200.34693,119.76215799999999
mp-255885,NiIr2F,3,cubic,195,Metal,-0.8853,0.0565,0.0,1,212.66,105.65,0.2843,3.226,32,1295.82,1130.0,0,271.37259,161.533154
mp-804653,CFe2Pt3,3,hexagonal,183,Oxide,-3.8164,0.0248,3.069,0,138.41,20.46,0.4304,7.176,8,694.19,2350.0,1,58.531968000000006,32.248780800000006
mp-567116,Pb3Ag3Mn,3,orthorhombic,32,Nitride,-2.2872,0.0271,0.906,0,271.23,67.56,0.3755,2.31,8,213.87,760.0,1,185.85756,110.590536
mp-154110,CoLaH3,3,hexagonal,177,Metal,-0.4831,0.0042,0.0,1,74.34,9.25,0.4437,11.557,12,1753.0,1254.0,1,26.70845,11.402269999999998
mp-547889,Se2Co3Ga,3,cubic,224,Silicate,-4.8781,0.0125,3.194,0,105.66,70.48,0.21,8.004,6,758.01,732.0,1,170.5616,99.13535999999999
